elo_rank,player,age,elo,helo,celo,gelo,atp_rank
313,Angela Fita Boluda,27.0,1434.5,1283.1,1415.9,1361.8,213
314,Samira De Stefano,22.2,1433.5,1398.5,1361.8,1391.7,250
315,Sara Saito,19.8,1432.2,1432.4,1362.7,1313.5,244
316,Margaux Rouvroy,25.3,1429.1,1390.8,1391.7,1389.5,346
317,Vivian Wolff,27.8,1428.1,1439.8,1374.2,1389.1,241
318,Yasmine Kabbaj,22.5,1427.1,1347.7,1412.9,1388.5,295
319,Chloe Paquet,32.1,1426.8,1405.4,1398.4,1343.0,297
320,Mei Yamaguchi,27.1,1424.6,1397.2,1303.9,1355.9,261
321,Aneta Kladivova,26.1,1424.0,1356.1,1414.7,1387.0,493
322,Ekaterina Reyngold,25.0,1423.0,1431.1,1362.7,1386.5,466
323,Kristina Mladenovic,33.1,1422.4,1407.8,1370.7,1418.0,862
324,Cadence Brace,21.4,1422.3,1420.1,1247.3,1325.2,258
325,Elena Micic,22.0,1422.0,1400.2,1295.8,1386.0,277
326,Anastasia Zolotareva,24.5,1420.1,1352.9,1408.8,1385.0,266
327,Britt Du Pree,19.5,1418.8,1430.2,1302.4,1354.0,302
328,Zhibek Kulambayeva,26.3,1418.0,1274.7,1397.9,1384.0,476
329,Eva Bennemann,18.8,1417.2,1445.9,1360.5,1383.6,304
330,Hong Yi Cody Wong,24.4,1416.7,1384.0,1339.3,1383.4,629
331,Lea Ma,25.5,1416.1,1389.2,1318.1,1379.6,287
332,Miho Kuramochi,28.1,1413.7,1398.0,1321.9,1379.7,374
333,Aurora Zantedeschi,25.7,1413.7,1237.5,1401.9,1381.8,296
334,Jenny Lim,21.5,1413.1,1317.8,1390.0,1381.6,356
335,Lea Boskovic,26.9,1411.8,1361.5,1386.7,1415.8,334
336,Ena Shibahara,28.4,1411.7,1385.2,1437.2,1394.7,486
337,Loes Ebeling Koning,20.4,1410.5,1320.3,1381.5,1342.5,475
338,Mina Hodzic,24.1,1410.4,1392.3,1378.5,1362.2,275
339,Elena Milovanovic,25.5,1409.4,1388.2,1357.9,1379.7,381
340,Haruka Kaji,31.8,1408.1,1394.1,1326.5,1416.6,259
341,Martha Matoula,29.2,1407.0,1328.9,1400.3,1453.5,299
342,Selena Janicijevic,24.0,1405.5,1337.3,1385.9,1396.5,254
343,Laima Vladson,18.8,1405.5,1300.4,1385.1,1377.8,582
344,Matilde Jorge,22.3,1405.1,1408.5,1289.8,1377.5,300
345,Despina Papamichail,33.4,1404.1,1368.5,1372.6,1382.2,188
346,Justina Mikulskyte,30.4,1402.3,1381.3,1362.3,1335.5,231
347,Tina Nadine Smith,23.6,1401.1,1388.2,1363.1,1375.5,424
348,Naiktha Bains,28.5,1400.4,1397.2,1330.6,1283.0,370
349,Sakura Hosogi,26.3,1399.7,1410.7,1260.6,1374.8,348
350,Ena Koike,19.7,1399.0,1380.6,1298.7,1374.5,328
351,Nuria Parrizas Diaz,34.9,1398.1,1399.5,1393.7,1351.8,704
352,Julie Belgraver,23.8,1397.4,1341.9,1370.1,1373.7,397
353,Sijia Wei,22.6,1396.9,1396.0,1281.2,1347.8,395
354,Ane Mintegi Del Olmo,22.8,1395.3,1380.6,1360.9,1372.7,273
355,Caroline Uebelhoer,30.3,1394.9,1332.3,1375.3,1379.7,286
356,Daria Khomutsianskaya,22.4,1393.4,1378.8,1311.7,1371.7,293
357,Kathinka Von Deichmann,32.1,1392.9,1404.4,1345.9,1350.4,327
358,Martina Capurro Taborda,28.6,1392.6,1303.1,1377.7,1403.3,242
359,Amarissa Kiara Toth,23.4,1390.4,1364.2,1369.1,1370.2,396
360,Kyoka Okamura,30.8,1390.0,1345.1,1299.9,1458.2,283
361,Ipek Oz,27.0,1389.3,1353.4,1368.2,1338.6,406
362,Tessa Johanna Brockmann,20.7,1388.7,1334.0,1342.9,1375.3,337
363,Julia Stusek,18.0,1387.5,1320.6,1343.4,1335.2,384
364,Sofya Lansere,25.8,1387.2,1403.5,1324.2,1368.6,270
365,Eryn Cayetano,25.1,1385.7,1373.7,1261.3,1367.9,372
366,Isabella Shinikova,34.8,1385.2,1425.0,1257.3,1290.5,353
367,Lucija Ciric Bagaric,22.6,1384.1,1271.7,1375.8,1342.7,364
368,Su Jeong Jang,30.9,1383.6,1354.5,1414.0,1333.3,610
369,Yuki Naito,25.4,1383.3,1386.3,1271.9,1336.1,291
370,Hiromi Abe,26.1,1380.7,1360.8,1305.3,1365.3,363
371,Maria Sara Popa,20.9,1380.6,1257.9,1356.9,1365.3,399
372,Yuriko Miyazaki,30.6,1380.2,1366.4,1252.5,1337.6,366
373,Anna Kubareva,25.4,1375.8,1364.7,1275.2,1362.9,519
374,Gabriela Lee,30.6,1374.6,1280.0,1378.8,1295.0,705
375,Dalila Jakupovic,35.3,1373.9,1364.6,1334.8,1323.4,343
376,Deborah Chiesa,30.1,1372.3,1281.0,1364.9,1332.3,333
377,Yidi Yang,26.4,1372.0,1367.9,1284.6,1361.0,368
378,Alice Rame,28.7,1370.3,1189.0,1376.3,1329.6,247
379,Xinxin Yao,22.8,1370.2,1400.0,1278.2,1360.1,282
380,Misaki Matsuda,27.7,1369.1,1350.7,1356.0,1359.5,421
381,Ella Mcdonald,20.9,1368.6,1249.9,1286.8,1385.4,462
382,Petra Sedlackova,24.9,1367.8,1298.9,1339.8,1358.9,694
383,Eunhye Lee,26.2,1367.7,1353.7,1298.9,1358.9,350
384,Hibah Shaikh,23.7,1366.2,1364.8,1316.1,1358.1,309
385,Mingge Xu,18.7,1365.9,1338.9,1298.0,1301.6,339
386,Varvara Panshina,20.5,1364.3,1306.5,1399.4,1357.1,345
387,Viola Turini,20.5,1364.1,1299.0,1360.4,1357.1,517
388,Carol Zhao,31.1,1363.8,1381.8,1282.0,1334.9,591
389,Dalila Spiteri,29.2,1362.6,1281.5,1359.1,1356.3,361
390,Rasheeda Mcadoo,31.1,1362.2,1301.0,1313.1,1356.1,454
391,Jia Jing Lu,36.6,1361.6,1331.0,1331.4,1271.4,383
392,Weronika Falkowska,26.1,1360.9,1392.5,1270.3,1355.4,316
393,Natsumi Kawaguchi,23.8,1359.8,1342.2,1294.9,1324.4,403
394,Iva Primorac,30.2,1358.6,1245.9,1368.2,1354.3,438
395,Yufei Ren,20.3,1357.8,1310.1,1367.1,1353.9,313
396,Miriana Tona,31.5,1356.8,1329.4,1327.4,1353.4,359
397,Tena Lukas,31.2,1356.6,1304.9,1337.3,1331.5,405
398,Hanna Chang,28.4,1355.0,1322.6,1377.2,1304.4,298
399,Victoria Rodriguez,31.3,1354.0,1337.1,1296.3,1352.0,456
400,Esther Adeshina,24.8,1353.1,1290.0,1291.6,1360.0,472
401,Elena Malygina,26.1,1350.5,1370.9,1265.8,1425.3,308
402,Ranah Akua Stoiber,21.0,1350.0,1325.2,1287.9,1321.0,561
403,Georgia Pedone,21.9,1349.9,1187.7,1347.9,1342.3,285
404,Kira Pavlova,22.2,1349.6,1329.3,1289.8,1349.8,344
405,Miriam Bianca Bulgaru,27.8,1349.2,1277.4,1314.4,1312.0,322
406,Mathilde Lollia,26.1,1348.6,1260.6,1323.2,1349.3,633
407,Sohyun Park,24.1,1347.2,1359.1,1297.6,1423.6,332
408,Ayano Shimizu,28.1,1346.8,1314.7,1231.7,1358.5,579
409,Valeria Savinykh,35.4,1344.2,1318.9,1247.5,1314.8,677
410,Ekaterina Maklakova,22.2,1343.3,1318.3,1309.9,1346.6,478
411,Denislava Glushkova,22.5,1342.0,1421.0,1323.9,1421.0,435
412,Haley Giavara,25.6,1341.6,1322.1,1252.3,1356.0,474
413,Viktoria Morvayova,25.3,1341.1,1332.3,1264.1,1377.6,312
